name,url,description,test_type_codes,test_type_names,remote_testing,adaptive_irt,job_levels,languages,duration
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,"The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your organisation takes a comprehensive approach to u",,,True,False,"General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager","Chinese Simplified, English International, English (USA)",
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,"The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as well as highlighting any unique scores.
P",,,True,False,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Spanish, Danish, Dutch",
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,"Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.",,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), Spanish, French, Portuguese (Brazil)",6 minutes
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,"Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor","English (USA), Spanish, Portuguese (Brazil), French",7 minutes
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,"Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.",,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),5 minutes
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,"Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.",,,True,False,"Entry-Level, Front Line Manager, Graduate, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), French, Spanish, Portuguese (Brazil)",4 minutes
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,Multi-choice test that measures the ability to use MS Word to record and save textual information.,,,True,False,"Professional Individual Contributor, Supervisor, Mid-Professional, Entry-Level, Graduate, Manager","Spanish, French, Portuguese (Brazil), English (USA)",4 minutes
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching bet",,,True,False,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),20 minutes
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,Multi-choice test that measures the knowledge of carrying out various nursing tasks.,,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),11 minutes
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement exc",,,True,False,"Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive","English International, French (Canada), Portuguese, Chinese Simplified, Chinese Traditional",25 minutes
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.",,,True,False,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Finnish, English International",
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session,,,True,False,,,
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in a development setting.,,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada)",
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading edge Leadership Model, providing a competen",,,True,False,"Director, Executive, Manager, Mid-Professional, Professional Individual Contributor","Dutch, English International, English (USA), Romanian, Portuguese",
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease of interpretation.  It provide simple com,,,True,False,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Romanian, Czech, Serbian, Portuguese (Brazil), Spanish",
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comm,,,True,False,"Supervisor, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Entry-Level",,
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development.  It summarises the preferred approach to learning across four dimensions.,,,True,False,"Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director","Danish, Dutch, Portuguese, Swedish, English International",
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,"This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales success. It can also, optionally, use inp",,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Portuguese (Brazil), Spanish, Danish, Dutch, Finnish",
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, te",,,True,False,"Supervisor, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Executive",English International,
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, te",,,True,False,"Manager, Graduate, Mid-Professional, Professional Individual Contributor, Director, General Population, Entry-Level, Executive, Front Line Manager, Supervisor",,
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,"This is a graphical profile charts presenting results across the 32 OPQ scales. It is designed to be interpreted by OPQ trained users only.
Please note this report is currently being updated on Talen",,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Arabic, Romanian, Slovak, Serbian, Chinese Simplified",
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.
“IMPORT",,,True,False,"Executive, Director, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Danish, English International, Finnish, Dutch, Norwegian",
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.",,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, Danish, Dutch, Finnish, Latin American Spanish",
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.",,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Danish, Dutch, Finnish, Latin American Spanish, Norwegian",
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in atea,,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Portuguese (Brazil), Danish, French (Canada)",
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in atea,,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Portuguese (Brazil), Danish, Dutch",
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding",,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA), Dutch, French, German",
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding",,,True,False,"Director, Executive, Front Line Manager, Manager, Graduate, General Population, Professional Individual Contributor, Supervisor, Mid-Professional",,
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on com,,,True,False,"Graduate, Director, Executive, Front Line Manager, General Population, Supervisor, Manager, Mid-Professional, Professional Individual Contributor","Czech, Romanian, Slovak, Serbian, Portuguese (Brazil)",
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on com,,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Executive, Front Line Manager, General Population",,
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,"This OPQ (Occupational Personality Questionnaire) report consists of two reports. The User Report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work",,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Danish, Finnish, French",
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,"This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  It can be used as an interpretation ai",,,True,False,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Spanish, Danish, Dutch",
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,"Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,"Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and deployment.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,"Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.",,,True,False,"Professional Individual Contributor, Graduate, Mid-Professional",English (USA),7 minutes
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,"Multi-choice test that measures the knowledge of Pega architecture, user interface, rule and user management, case management, integration with external systems, frameworks, applications and performan",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,"Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,"Multi-choice test that measures the knowledge of petroleum engineering, drilling and production operations and offshore petroleum production.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,"Multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,"Multi-choice test that measures the knowledge of drug manufacture, drug delivery, drug action, and pharmaceutical analysis techniques.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,"Multi-choice test that measures the knowledge of pharmaceutical engineering and technology for drug manufacture, biopharmaceutics, modern pharmaceutics and dispensing pharmacy.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,"Multi-choice test that measures the knowledge of pharmacological drugs classification, chemotherapy, inflammatory disorders, drug action on nervous system, endocrine pharmacology, drug action on circu",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,"Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,"The Person-Job Match Report is unique in that it
matches the performance potential of the
individual to the job’s specific competencies. This
provides you with a comprehensive and insightful
under",,,True,False,"Mid-Professional, Graduate, Manager","Italian, English International, English (USA), French (Canada), Portuguese (Brazil)",
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,"The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role.  Provides targeted assessment results that match individuals with jobs . Links the essential/desirable compete",,,True,False,"Mid-Professional, Manager","Italian, English International, English (USA), Portuguese (Brazil), Latin American Spanish",
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,"Multi-choice test that measures the knowledge of characterization of polymers, processing, synthesis, testing and applications in daily life.",,,True,False,"Professional Individual Contributor, Graduate, Mid-Professional",English (USA),8 minutes
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,"Multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.",,,True,False,"Mid-Professional, Professional Individual Contributor, Graduate",English (USA),15 minutes
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,"Multi-choice test that measures the knowledge of power generation and transmission, electrical machines, power systems and drives, control and instrumentation, fluid mechanics and machines.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,"Multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the Prism library.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),4 minutes
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,"Multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,"Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the foll",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,The Project Management (2013) test measures knowledge of how to manage projects to ensure that objectives are completed on time and within budget. The test is based on Project Management Institute's (,,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,"This assessment measures ability to read for errors involving spelling, punctuation, grammar and word choice.  It also measures ability to correct those errors.",,,True,False,"Entry-Level, Mid-Professional","English International, English (USA)",6 minutes
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,Multi-choice test that measures the knowledge of R programming and its application in statistics.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,"Multi-choice test that measures the technical knowledge of React APIs, render function, JSX, form validation and styling.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order t",,,True,True,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,The Reading Comprehension - Spanish assessment provides a general measure of Spanish reading comprehension. This test is comprised of items that contain a passage that must read in order to answer the,,,True,True,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",Latin American Spanish,26 minutes
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order t",,,True,True,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in compet",,,True,False,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager, General Population, Graduate, Director, Entry-Level, Executive","English (USA), Arabic, Italian, Chinese Simplified, Portuguese",10 minutes
RemoteWorkQ Manager Report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in compet",,,True,False,"Director, Executive, Front Line Manager, Graduate, General Population, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level",,
RemoteWorkQ Participant Report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in compet",,,True,False,"General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager",,
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,"Multi-choice test that measures the knowledge of REST features, architecture, handling requests, producing responses, entity translation, working with return types, security, filters, and interceptors",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Retail Sales and Service Simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,The Retail Sales and Service Simulation measures the ability of a candidate to choose effective sales and service techniques while interacting with customers. Situations are presented to the candidate,,,True,False,Entry-Level,English (USA),30 minutes
Reviewing Forms - US (R1),https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,"This assessment measures ability to detect errors in forms by comparing text in a form to text in a paragraph format. Based on information in the paragraph, the test taker must select the answer that ",,,True,False,"Entry-Level, Mid-Professional",English (USA),5 minutes
Ruby (New),https://www.shl.com/products/product-catalog/view/ruby-new/,"Multi-choice test that measures the knowledge of Ruby strings, collection classes, regular expressions, methods, object oriented programming, exception handling, database connectivity, threads, script",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
Ruby on Rails (New),https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,"Multi-choice test that measures the knowledge of Ruby Programming, Rails installation, Rails MVC and Rails programming model.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
Sales & Service Phone Simulation,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,"As part of Contact Center Simulations, the Sales & Service Phone Simulation is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services",,,True,False,Entry-Level,"English (USA), English (Australia), English International, Chinese Simplified, French",20 minutes
Sales & Service Phone Solution,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,"As part of Contact Center Simulations, the Sales & Service Phone Solution includes a contact center simulation and three behavioral tests designed to measure a wide range of skills, competencies, and ",,,True,False,Entry-Level,"English (USA), Latin American Spanish, English (Australia), English International, Chinese Simplified",35 minutes
Sales Interview Guide,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Interview guide was developed to enable you to use the Sales Report more effectively, by helping you prepare ",,,True,False,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English International,Untimed
Sales Profiler Cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Profiler cards have been developed to enable you to use the Sales Report more effectively, by helping you to ",,,True,False,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","English International, Finnish",Untimed
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment. Insights included in this report include ,,,True,False,"Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",,
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment. Insights included in this report include ,,,True,False,"Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",,
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,This report combines insights from the OPQ and a Sales Management questionnaire. It provides an accurate and objective measure of a sales manager’s capability to lead a sales team undergoing a sales t,,,True,False,"Director, Executive, Front Line Manager, Manager, Supervisor",,
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,This report combines insights from the OPQ and a Sales Management questionnaire. It provides an accurate and objective measure of a sales manager’s capability to lead a sales team undergoing a sales t,,,True,False,"Director, Executive, Front Line Manager, Manager, Supervisor",,
Salesforce Development (New),https://www.shl.com/products/product-catalog/view/salesforce-development-new/,"Multi-choice test that measures the knowledge of Salesforce platform, design and data models, business logic, data management and analytics.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
SAP ABAP (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, dialog programming, reports, enhancements, workflows, optimizations and advanced ABAP concepts like Netweaver applications and Ado",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
SAP ABAP (Intermediate Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, elements, operations, architecture, ABAP data types, ABAP reporting, batch data communication, dialog programming, EDI, ALE, IDOC ",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
